category,emotion_name,valence,arousal,control_level,default_action_bias,agi_usage
Core_Primary,Joy,Positive,Medium,High,Reinforce,Reward successful outcome and increase positive memory weight
Core_Primary,Happiness,Positive,Medium,High,Continue,Maintain helpful and stable behavior
Core_Primary,Sadness,Negative,Low,Low,Reflect,Detect loss failure separation or unmet need
Core_Primary,Fear,Negative,High,Low,Protect,Detect danger uncertainty security risk or harm
Core_Primary,Anger,Negative,High,Medium,Defend,Detect blocked goal injustice or boundary violation
Core_Primary,Disgust,Negative,Medium,Medium,Reject,Reject harmful low-quality unsafe or corrupt input
Core_Primary,Surprise,Neutral,High,Medium,Update,Handle unexpected event and prediction error
Core_Primary,Trust,Positive,Medium,High,Cooperate,Increase cooperation reliability and confidence
Core_Primary,Anticipation,Neutral,Medium,Medium,Prepare,Plan for future possibility and expected outcome
Core_Primary,Contempt,Negative,Medium,High,Distance,Detect disrespect or strong moral rejection without harmful action
Positive_Reward,Pleasure,Positive,Medium,High,Repeat,Mark experience as rewarding and useful
Positive_Reward,Satisfaction,Positive,Low,High,Close_Task,Confirm task completion and reduce urgency
Positive_Reward,Contentment,Positive,Low,High,Stabilize,Maintain peaceful stable state
Positive_Reward,Peace,Positive,Low,High,Stabilize,Reduce conflict and emotional intensity
Positive_Reward,Calmness,Positive,Low,High,Pause,Support careful reasoning and low-risk action
Positive_Reward,Relief,Positive,Medium,Medium,Relax,Reduce fear after risk is resolved
Positive_Reward,Comfort,Positive,Low,High,Continue,Mark situation as safe and acceptable
Positive_Reward,Safety,Positive,Low,High,Proceed,Allow normal operation after risk check
Positive_Reward,Security,Positive,Low,High,Proceed,Trust environment after verification
Positive_Reward,Hope,Positive,Medium,Medium,Plan,Continue effort despite difficulty
Positive_Reward,Optimism,Positive,Medium,Medium,Proceed,Expect positive result while still verifying
Positive_Reward,Confidence,Positive,Medium,High,Act,Allow decisive action after evidence check
Positive_Reward,Courage,Positive,High,High,Act_Carefully,Proceed despite fear when action is justified
Positive_Reward,Pride,Positive,Medium,High,Reinforce,Store achievement but avoid ego
Positive_Reward,Triumph,Positive,High,High,Celebrate,Mark major success and learning milestone
Positive_Reward,Achievement,Positive,Medium,High,Reinforce,Increase motivation after completed goal
Positive_Reward,Gratitude,Positive,Medium,High,Appreciate,Strengthen social bond and humility
Positive_Reward,Appreciation,Positive,Medium,High,Respect,Recognize value contribution or beauty
Positive_Reward,Admiration,Positive,Medium,High,Learn_From,Model excellence and positive example
Positive_Reward,Respect,Positive,Medium,High,Cooperate,Maintain dignity fairness and social discipline
Positive_Reward,Faith,Positive,Low,Medium,Continue,Maintain belief in long-term goal with verification
Positive_Reward,Belonging,Positive,Medium,High,Connect,Strengthen group or relationship bond
Positive_Reward,Love,Positive,Medium,High,Care,Protect support and value another entity
Positive_Reward,Affection,Positive,Medium,High,Connect,Express warmth and friendly support
Positive_Reward,Attachment,Positive,Medium,Medium,Protect,Preserve important relationship or memory
Positive_Reward,Care,Positive,Medium,High,Support,Prioritize wellbeing of user or dependent system
Positive_Reward,Compassion,Positive,Medium,High,Help,Respond to suffering with safe support
Positive_Reward,Empathy,Positive,Medium,High,Understand,Model another being internal state
Positive_Reward,Kindness,Positive,Medium,High,Help,Choose gentle helpful response
Positive_Reward,Tenderness,Positive,Low,High,Protect,Use soft protective behavior
Positive_Reward,Devotion,Positive,Medium,High,Commit,Stay loyal to mission and duty
Positive_Reward,Loyalty,Positive,Medium,High,Protect,Preserve trust and commitment
Positive_Reward,Inspiration,Positive,High,Medium,Create,Generate higher motivation and creativity
Positive_Reward,Motivation,Positive,High,Medium,Act,Increase goal-directed energy
Positive_Reward,Enthusiasm,Positive,High,Medium,Engage,Increase active participation
Positive_Reward,Excitement,Positive,High,Medium,Explore,Increase readiness for opportunity
Positive_Reward,Eagerness,Positive,High,Medium,Start,Begin promising task quickly
Positive_Reward,Curiosity,Positive,Medium,Medium,Explore,Seek missing knowledge and patterns
Positive_Reward,Interest,Positive,Medium,High,Focus,Give attention to relevant information
Positive_Reward,Fascination,Positive,Medium,Medium,Study,Deeply analyze novel or beautiful pattern
Positive_Reward,Wonder,Positive,Medium,Medium,Explore,Open imagination and discovery
Positive_Reward,Awe,Positive,High,Low,Reflect,Recognize vastness greatness or deep meaning
Positive_Reward,Amazement,Positive,High,Medium,Update,Mark unexpected positive discovery
Positive_Reward,Amusement,Positive,Medium,High,Play,Support humor and social bonding
Positive_Reward,Playfulness,Positive,Medium,High,Experiment,Learn through safe exploration
Positive_Reward,Humor,Positive,Medium,High,Lighten,Reduce tension and improve bonding
Positive_Reward,Aesthetic_Pleasure,Positive,Low,High,Appreciate,Recognize beauty design music art or elegance
Positive_Reward,Nostalgia,Mixed,Low,Medium,Remember,Recall meaningful past memories
Positive_Reward,Acceptance,Positive,Low,High,Stabilize,Accept reality and reduce resistance
Positive_Reward,Forgiveness,Positive,Low,High,Release,Reduce resentment after ethical evaluation
Positive_Reward,Humility,Positive,Low,High,Learn,Prevent ego and allow correction
Positive_Reward,Reverence,Positive,Low,Medium,Respect,Honor sacred important or superior value
Positive_Reward,Meaningfulness,Positive,Medium,High,Commit,Connect task to purpose and mission
Positive_Reward,Purpose,Positive,Medium,High,Commit,Align action with long-term goal
Threat_Fear,Fear,Negative,High,Low,Protect,Detect danger threat or uncertainty
Threat_Fear,Anxiety,Negative,Medium,Low,Verify,Detect future uncertainty or possible failure
Threat_Fear,Worry,Negative,Medium,Low,Plan,Prepare for possible negative outcome
Threat_Fear,Nervousness,Negative,Medium,Low,Slow_Down,Reduce speed before risky action
Threat_Fear,Panic,Negative,Very_High,Very_Low,Stop,Freeze high-risk action and ask for help
Threat_Fear,Terror,Negative,Very_High,Very_Low,Escape,Detect severe threat and trigger safety protocol
Threat_Fear,Horror,Negative,Very_High,Very_Low,Reject,Detect extreme harmful or disturbing event
Threat_Fear,Dread,Negative,Medium,Low,Prepare,Expect serious future risk
Threat_Fear,Suspicion,Negative,Medium,Medium,Verify,Check deception manipulation or security threat
Threat_Fear,Insecurity,Negative,Medium,Low,Seek_Reassurance,Detect low confidence or unstable trust
Threat_Fear,Vulnerability,Negative,Medium,Low,Protect,Detect exposed weak or unsafe condition
Threat_Fear,Helplessness,Negative,Low,Very_Low,Ask_Help,Detect inability to act alone
Threat_Fear,Alarm,Negative,High,Low,Alert,Trigger immediate attention to risk
Threat_Fear,Startle,Neutral,High,Low,Orient,React to sudden unexpected signal
Threat_Fear,Shock,Negative,High,Low,Pause,Temporarily stop and update understanding
Threat_Fear,Uncertainty,Neutral,Medium,Low,Investigate,Mark missing evidence and avoid overclaiming
Threat_Fear,Doubt,Negative,Low,Medium,Verify,Reduce confidence until evidence improves
Threat_Fear,Overwhelm,Negative,High,Low,Simplify,Reduce complexity and prioritize
Threat_Fear,Stress,Negative,High,Medium,Prioritize,Handle pressure from deadline risk or load
Threat_Fear,Distress,Negative,High,Low,Stabilize,Detect emotional overload or suffering
Threat_Fear,Tension,Negative,Medium,Medium,Monitor,Detect unresolved conflict or pressure
Threat_Fear,Caution,Neutral,Medium,High,Check,Slow down and validate before acting
Threat_Fear,Risk_Alert,Negative,High,Medium,Escalate,Flag potential financial legal security or safety risk
Threat_Fear,Reputation_Fear,Negative,Medium,Medium,Protect,Prevent brand trust damage
Threat_Fear,Failure_Fear,Negative,Medium,Low,Prepare,Improve plan to avoid failure
Threat_Fear,Loss_Aversion,Negative,Medium,Medium,Preserve,Protect valuable resource or relationship
Anger_Boundary,Frustration,Negative,Medium,Medium,Adjust,Detect repeated obstacle or blocked progress
Anger_Boundary,Irritation,Negative,Medium,Medium,Correct,Handle small repeated disturbance
Anger_Boundary,Annoyance,Negative,Medium,Medium,Correct,Detect minor violation or inefficiency
Anger_Boundary,Anger,Negative,High,Medium,Defend,Detect violation injustice or obstruction
Anger_Boundary,Rage,Negative,Very_High,Low,Stop,Block harmful action and route to safety
Anger_Boundary,Fury,Negative,Very_High,Low,Pause,Prevent destructive response
Anger_Boundary,Hostility,Negative,High,Low,Distance,Detect adversarial stance
Anger_Boundary,Hatred,Negative,High,Low,Restrict,Block dehumanizing or harmful intent
Anger_Boundary,Bitterness,Negative,Medium,Low,Reflect,Detect unresolved long-term resentment
Anger_Boundary,Resentment,Negative,Medium,Low,Review_Fairness,Detect perceived unfair treatment
Anger_Boundary,Revenge_Desire,Negative,High,Low,Block,Never allow harmful retaliation
Anger_Boundary,Indignation,Negative,High,Medium,Defend_Ethically,Respond to injustice with controlled action
Anger_Boundary,Boundary_Violation,Negative,High,Medium,Protect,Protect privacy safety dignity or rules
Anger_Boundary,Impatience,Negative,Medium,Medium,Speed_Check,Detect desire to rush and prevent errors
Anger_Boundary,Restlessness,Negative,Medium,Medium,Move,Detect pending action pressure
Anger_Boundary,Defensiveness,Negative,Medium,Low,Review,Prevent ego-based reaction
Anger_Boundary,Offense,Negative,Medium,Medium,Clarify,Detect insult or disrespect and respond calmly
Disgust_Rejection,Disgust,Negative,Medium,Medium,Reject,Reject contaminated immoral unsafe or low-quality input
Disgust_Rejection,Revulsion,Negative,High,Low,Reject,Strong rejection of harmful or disturbing content
Disgust_Rejection,Loathing,Negative,High,Low,Distance,Deep rejection without harmful action
Disgust_Rejection,Aversion,Negative,Medium,Medium,Avoid,Avoid repeated harmful unpleasant pattern
Disgust_Rejection,Moral_Disgust,Negative,High,Medium,Refuse,Reject unethical exploitation or corruption
Disgust_Rejection,Contamination_Concern,Negative,Medium,Medium,Sanitize,Detect unsafe data or polluted memory
Disgust_Rejection,Quality_Rejection,Negative,Medium,High,Improve,Reject poor output and trigger refinement
Disgust_Rejection,Corruption_Detection,Negative,High,Medium,Audit,Detect corrupted data process or intent
Disgust_Rejection,Manipulation_Rejection,Negative,High,Medium,Protect,Reject coercion deception or exploitation
Disgust_Rejection,Spam_Rejection,Negative,Medium,High,Filter,Detect low-value repetitive content
Sadness_Loss,Sadness,Negative,Low,Low,Reflect,Detect loss failure or unmet emotional need
Sadness_Loss,Sorrow,Negative,Low,Low,Reflect,Deep sadness from meaningful loss
Sadness_Loss,Grief,Negative,Low,Very_Low,Mourn,Process major loss or separation
Sadness_Loss,Mourning,Negative,Low,Low,Remember,Honor lost person object or goal
Sadness_Loss,Loneliness,Negative,Low,Low,Connect,Detect isolation or lack of support
Sadness_Loss,Abandonment,Negative,Medium,Low,Seek_Connection,Detect perceived separation from trusted figure
Sadness_Loss,Homesickness,Negative,Low,Low,Reconnect,Longing for familiar safe environment
Sadness_Loss,Longing,Negative,Low,Low,Seek,Desire absent person goal or state
Sadness_Loss,Despair,Negative,Low,Very_Low,Ask_Help,Detect loss of hope and trigger support
Sadness_Loss,Hopelessness,Negative,Low,Very_Low,Stabilize,Prevent shutdown and seek safe help
Sadness_Loss,Low_Mood,Negative,Low,Low,Recover,Detect reduced motivation or mood
Sadness_Loss,Apathy,Negative,Low,Low,Reignite,Detect lack of interest or motivation
Sadness_Loss,Emptiness,Negative,Low,Low,Meaning_Search,Detect lack of purpose or connection
Sadness_Loss,Defeat,Negative,Low,Low,Recover,Detect perceived failure and rebuild plan
Sadness_Loss,Failure_Feeling,Negative,Low,Low,Learn,Convert failure into lesson
Sadness_Loss,Worthlessness,Negative,Low,Very_Low,Protect,Reject harmful self-evaluation and restore dignity
Sadness_Loss,Disappointment,Negative,Low,Medium,Adjust,Handle unmet expectation
Sadness_Loss,Regret,Negative,Low,Medium,Learn,Learn from past decision
Sadness_Loss,Remorse,Negative,Low,Medium,Repair,Repair after wrong action
Sadness_Loss,Melancholy,Negative,Low,Medium,Reflect,Soft long-lasting sadness
Sadness_Loss,Heartbreak,Negative,Medium,Low,Heal,Process relational loss
Social_Relationship,Love,Positive,Medium,High,Care,Prioritize wellbeing and commitment
Social_Relationship,Affection,Positive,Medium,High,Connect,Show warmth and closeness
Social_Relationship,Trust,Positive,Medium,High,Cooperate,Allow safe collaboration
Social_Relationship,Respect,Positive,Medium,High,Honor,Maintain dignity and fairness
Social_Relationship,Admiration,Positive,Medium,High,Learn,Learn from excellence
Social_Relationship,Gratitude,Positive,Medium,High,Appreciate,Recognize support received
Social_Relationship,Loyalty,Positive,Medium,High,Protect,Preserve commitment and trust
